Description;demarche en ligne;compte ou espace personnel;telephone;e-mail;accueil;courrier;reseaux sociaux;Description_2;Description_3;clusters
tres bon accueil  reponses efficaces et bienveillante ;0;0;0;0;1;;;['repons', 'efficac'];repons efficac;-1
quand au telephone on a une personne agreable qui nous confirme que je peux accompagner mon mari a son rdv et qu en arrivant on tombe sur une personne desagreable qui refuse que je rentre avec lui  il y a de quoi etre agacee sachant que j avais pris mon apres midi specialement pour cet entretien    et que d autres sont autorises   ;0;0;1;0;1;;;['confirm', 'rdv', 'arriv', 'agace', 'special', 'autoris'];confirm rdv arriv agace special autoris;-1
merci a la conseillere sara et a pole emploi romans d avoir enfin recruter des personnes aimable  serviable et qui prennent bien le temps  de repondre au mieux a nous demandeur d emploi   en effet  je souhaitais feliciter cette conseillere sara en particulier   elle a fait preuve de professionnalisme et bienveillance envers nous demandeurs d emploi qui sommes bien souvent  neglige    enfin  je tenais a vraiment prendre le temps de souligner l attitude profesionnelle de cette personne  car oui  quand ca se passe bien  il faut aussi le dire   bonne continuation a cette dame  au plaisir ;0;0;0;0;1;;;['sar', 'roman', 'aimabl', 'serviabl', 'prennent', 'felicit', 'sar', 'professionnal', 'enver', 'neglig', 'ten', 'soulign', 'attitud', 'profesionnel', 'plais'];sar roman aimabl serviabl prennent felicit sar professionnal enver neglig ten soulign attitud profesionnel plais;-1
les avis negatif ne sont peut etre plus d actualite car je viens recemment de m inscrire et je constate que trois jeunes sont vraiment a l ecoute des demandeur d emploi ils prennent  vraiment le temps de bien nous expliquer la marche a suivre et d une facon calme et detaille open space est lumineux et agreable ;0;0;0;0;0;;;['actualit', 'recent', 'jeun', 'prennent', 'calm', 'detaill', 'open', 'spac', 'lumin'];actualit recent jeun prennent calm detaill open spac lumin;6
une honte d accueillir les recrutements de la sfam dans vos locaux  le recruteur ludovic n a aucune honte  il convoque a 9h30 pour prendre qu a 10h30 et si il nous a deja eu en entretien pour un autre poste il nous refuse l entretien  pourquoi nous convoquer dans ce cas la    bien a l image de la societe pour qui il travaille  des escrocs notoires sans education juste bon a arnaquer des gens sans defenses;0;0;0;0;1;;;['sfam', 'recruteur', 'ludovic', 'convoqu', '9h30', '10h30', 'convoqu', 'imag', 'escroc', 'notoir', 'educ', 'arnaqu', 'defens'];sfam recruteur ludovic convoqu 9h30 10h30 convoqu imag escroc notoir educ arnaqu defens;-1
aucune offre a notre demande;1;0;0;0;0;;;['offre'];offre;-1
ce matin je suis alle car j avais un probleme d inscription je suis tombe sur une dame qui s appelle joel et je la remercierai jamais assez pour sa patience et gentillesse  il faut mettre plus de personnes comme elle dans cette agence encore merci car malheureusement les autres fois ou je suis alle je suis toujours tombe sur des personnes qui voulait rien savoir;0;0;0;0;1;;;['appel', 'joel', 'remerci', 'patienc', 'gentilless'];appel joel remerci patienc gentilless;0
superbe accueil  personnel disponible et souriant  me le a travers le masque ;0;0;0;0;1;;;['superb', 'souri', 'traver', 'masqu'];superb souri traver masqu;0
faire faire 80 km pour un rendez vous inutile qui a consiste a scanner mon passeport  scandaleux  ;0;0;0;0;1;;;['80', 'km', 'consist', 'passeport', 'scandal'];80 km consist passeport scandal;-1
je n ai jamais eu de probleme dans mes accompagnements avec pole emploi  j ai toujours eu de tres bon conseiller  merci a eux  merci a toute l equipe;0;0;0;0;0;;;['equip'];equip;0
ne sert strictement a rien ne travail jamais on ne peut pas les contacter si vous voulez du travail aller voir ailleurs ces beaucoup mieux;0;0;0;0;0;;;['strict', 'contact'];strict contact;0
une grosse blague  professionnalisme 0  relationnel 0  aide par telephone 0  1 etoile parce que je ne peux pas mettre moins  je defis n importe qui d etre aussi desagreable et incompetent que les personnes qui s occupent du dossier de maman  une seule chance c  est que ma maman ne souhaite pas que je m occupe de faire le lien entre elle et eux  parce qu on verrait bien s ils se permettraient de me parler comme ils le font avec elle  intolerable et inacceptable pour un service public  ;0;0;0;0;0;;;['gross', 'blagu', 'professionnal', 'relationnel', 'def', 'incompetent', 'occupent', 'dossi', 'maman', 'maman', 'occup', 'lien', 'verr', 'permettr', 'intoler', 'inaccept'];gross blagu professionnal relationnel def incompetent occupent dossi maman maman occup lien verr permettr intoler inaccept;-1
service indemnisation qui ne fait absolument pas son travail inscrit depuis avril 2020 on me dit que mon inscription est pris en compte en juin 2020 sauf que j ai toute les preuves qu il font n importe quoi et dise bien ce qu il veule pour bacler les dossier    demande des documents deja envoye plus de 20 fois     des reponses toute faite et qui ont rien a voir avec ce qu ils ont dit la veille en attendant j ai 1 mois dans le vent due a l incompetence de ces dernier mais je ne vais pas me laisser faire   la personne au bout du fil coupe la parole et meprisante desagreable soupire a tout bout de chant et ne veux absolument rien entendre pretextant que c est nous les con       mail et courrier envoye au directeur suite a l incompetence de ces derniers   bravo pole emploi la vous faite tres fort  ;0;0;1;1;0;;;['indemnis', 'inscrit', 'compt', 'juin', 'preuv', 'veul', 'bacl', 'dossi', 'docu', 'repons', 'veil', 'attend', 'vent', 'du', 'incompetent', 'fil', 'coup', 'parol', 'mepris', 'soupir', 'chant', 'entendr', 'pretext', 'courri', 'directeur', 'incompetent', 'derni'];indemnis inscrit compt juin preuv veul bacl dossi docu repons veil attend vent du incompetent fil coup parol mepris soupir chant entendr pretext courri directeur incompetent derni;0
vraiment tres decue de l approche et du comportement condescendant de ma conseillere  aucune pedagogie  aucune approche productive  aucune comprehension  pas de confiance des le debut de l echange  tres mauvaise impression  pole emploi c est plutot decourager qu encourager  c est vraiment dommage  si c est pour avoir affaire a des personnes qui ne sont pas professionnelles cela ne sert a rien  je ne leur fait pas confiance pour m aider ;0;0;0;0;0;;;['approch', 'condescend', 'pedagog', 'approch', 'product', 'impress', 'decourag', 'encourag', 'affair'];approch condescend pedagog approch product impress decourag encourag affair;0
1 etoile car on ne peut pas metre 0  incompetence totale   ;0;0;0;0;0;;;['metr', 'incompetent', 'total'];metr incompetent total;1
equipe a revoir serieusement    un mois sur deux ils trouvent des excuses pour ne pas payer ou payer le 20 du mois  cette argent que vous distribuez il ne faudrait pas oublie qu il nous appartient et que nous le cotisons en travaillant  ;0;0;0;0;0;;;['equip', 'revoir', 'trouvent', 'pai', 'pai', 'argent', 'distribu', 'appartient', 'cotison'];equip revoir trouvent pai pai argent distribu appartient cotison;0
il serait bon de rappeler a vos   conseillers d orientation    je parle ici de mme h   de respecter les decisions personnelle   les choix  les valeurs   les objectifs et limites propre a chacun  le respect  le non jugement et l ecoute sont pourtant les bases  surtout quand on est cense etre la pour aider les autres    mais ce n est pas inne pour tout le monde apparemment  et non  le fait d insister tres lourdement  sous couvert de menaces  pour esperer me faire adherer a vos choix  n est pas non plus une pratique tres professionnelle   sur ce  mme la bien pensante  j ai des choses plus interessantes a faire   par contre la dame de l accueil  elle etait sympathique ;0;0;0;0;0;;;['orient', 'mme', 'h', 'respect', 'decis', 'valeur', 'object', 'propr', 'respect', 'jug', 'inne', 'apparent', 'insist', 'lourd', 'couvert', 'adher', 'mme', 'sympath'];orient mme h respect decis valeur object propr respect jug inne apparent insist lourd couvert adher mme sympath;-1
popol  emploi sont la pour radier pas pour aider il comprennent rien payer a radier ou a te mettre dans des reunion collective qui sert a rien et bien plus encore il on mis des personnes a la rue impossibilite de payer les factures  rsa couper aussi cela arrive sur toute les popol emploi  on pourrait meme ecrire un livre sur tout les stars de conseillers  qui radie et qui mes des familles  a la rue impossibilite de payer les factures sont a rue a enfant handicape ou pas   des reunion collective qui sert a rien pour repeter   il offre du cafe   des erreurs de calcul et j en passe la radiation baisse le chomage  la conseillere ou conseillers tranquille au chaud c est pire en pire bienvenue chez popol emploi inscrit apres radier selon les criteres plein d autre chose des conseillers qui vous donne des reunion collective cv reboote il recommence tous les annees ateliers  il fait chaud bof est encore ;0;0;0;0;0;;;['popol', 'radi', 'comprennent', 'pai', 'radi', 'collect', 'ru', 'impossibilit', 'pai', 'rsa', 'coup', 'popol', 'ecrir', 'livr', 'star', 'famill', 'ru', 'impossibilit', 'pai', 'ru', 'handicap', 'collect', 'repet', 'offre', 'caf', 'baiss', 'chomag', 'tranquill', 'chaud', 'bienvenu', 'popol', 'inscrit', 'radi', 'selon', 'criter', 'collect', 'reboot', 'recomment', 'chaud', 'bof'];popol radi comprennent pai radi collect ru impossibilit pai rsa coup popol ecrir livr star famill ru impossibilit pai ru handicap collect repet offre caf baiss chomag tranquill chaud bienvenu popol inscrit radi selon criter collect reboot recomment chaud bof;0
d une incompetence incomparable ce dire qu il sont cense aide a trouve du taff sa fais peur pour ceux qui galere te prenne de haut avec leur reponse toute faite et ne cherche pas assume leur faute;0;0;0;0;0;;;['incompetent', 'incompar', 'taff', 'peur', 'galer', 'pren', 'haut', 'repons', 'assum'];incompetent incompar taff peur galer pren haut repons assum;1
au lieu de menacer ma fille d un avertissement de radiation pour un appel manque suite au mauvais fonctionnement reseau   ouais ca arrive     alors qu en plus elle sort d une formation de mars a juillet   et que la elle vient de debuter les vendanges        donc ouai vous allez recevoir le contrat via mail  aller donc faire des menaces aux personnes qui refusent vos formations ainsi que les vendanges et qui sont indemnises      ce qui n est pas le cas de ma fille      quand on change les conseilleres a longueur d annee il faudrait peut etre qu elle se mette les dossiers a jour dans leur crane   a bon entendeur    ;0;0;1;1;0;;;['fill', 'avert', 'appel', 'mauv', 'reseau', 'ouais', 'format', 'juillet', 'vient', 'debut', 'vendang', 'ouai', 'contrat', 'refusent', 'format', 'vendang', 'indemnis', 'fill', 'longueur', 'dossi', 'cran', 'entendeur'];fill avert appel mauv reseau ouais format juillet vient debut vendang ouai contrat refusent format vendang indemnis fill longueur dossi cran entendeur;-1
pas serieux;0;0;0;0;0;;;[];;0
des bon a rien  incapables de vous accompagner dans le processus de creation d entreprise   ils sont censes nous aider mais ne servent finalement a rien  conseiller qui doit vous rappeler mais qui ne le fait jamais  rdv pris a ma demande annules   pole emploi recrute  sur pole emploi ;0;0;1;0;0;;;['processus', 'rdv'];processus rdv;-1
odieuses a l accueil telephonique  ;0;0;1;0;0;;;['odieux'];odieux;-1
rendez vous telephonique a 10h30  je crois que la conseillere m a oublie  j espere que le cafe n etait pas trop sucre   apres on dit que les jeunes ne veulent pas travailler   chapeau  ;0;0;1;0;0;;;['10h30', 'crois', 'caf', 'sucr', 'jeun', 'veulent', 'chapeau'];10h30 crois caf sucr jeun veulent chapeau;0
aujourd hui lundi 17 mai 2021 pole emploi   romilly sur seine 10100 a 10h30 objet   invitation a une reunion d information   tom recrutement   avec l entreprise   atalian   la reunion d information a dure 1h30  avec les responsables de l entreprises mme tom il manquait beaucoup de personnes a cette reunion d information de recrutement  on etait que deux personnes pour ce recrutement  avis   la phobie coronavirus 19  qui a change le mode de vie a beaucoup de personnes  le recrutement c est bien passer avec la responsable de la drh de l entreprise  cordialement   didier violas;0;0;0;0;0;;;['lund', '17', 'romilly', 'sein', '10100', '10h30', 'objet', 'invit', 'tom', 'atalian', '1h30', 'respons', 'mme', 'tom', 'phob', 'coronavirus', '19', 'mod', 'respons', 'drh', 'didi', 'viol'];lund 17 romilly sein 10100 10h30 objet invit tom atalian 1h30 respons mme tom phob coronavirus 19 mod respons drh didi viol;0
ils se trompent dans un versement et plusieurs mois apres demandent un remboursement   c est n importe quoi   les salaries n ont qu a faire leur travail correctement   et si ils ne le font pas par passion  il y a plein d autres candidats pour les remplacer dans leur banque de donnees il me semble    moi  si je me trompe dans un devis j assume et fais mieux la fois d apres   je ne rappelle pas mon client pour lui demander 3 mois apres de l argent parce que j ai fait une erreur  c est trop facile pour eux et ne les force pas a etre competent ;0;0;0;0;0;;;['trompent', 'demandent', 'rembours', 'passion', 'remplac', 'banqu', 'tromp', 'assum', 'argent', 'competent'];trompent demandent rembours passion remplac banqu tromp assum argent competent;-1
disons que chez eux si tout se passe bien c est cool  l accueil est parfait  les conseillers n ont aucun probleme a vous rappeler pour vous expliquer les choses clairement etc   mais alors si pole emploi est responsable d un probleme dans votre dossier  vous aurez face a vous la definition meme de la mauvaise foi  des gens qui vous parle comme a un chien et qui s etonnent ensuite que vous leur repondiez sur le meme ton    a ce jour aucune excuse pour une erreur qui pourtant vient bien de leur logiciel  bravo changez rien   ;1;0;0;0;0;;;['dison', 'cool', 'parf', 'respons', 'dossi', 'fac', 'definit', 'foi', 'chien', 'etonnent', 'vient', 'chang'];dison cool parf respons dossi fac definit foi chien etonnent vient chang;0
je ne peux pas donner d avis sur l accueil physique mais concernant les echanges mails et telephoniques  je n ai jamais ete aussi bien  accueillie   les reponses sont rapides  claires et respectueuses ;0;0;1;1;0;;;['repons', 'rapid', 'clair', 'respectu'];repons rapid clair respectu;2
ils sont t tres a  l ecoute au pole  emploi rouen saint sever ils nous donne de bons conseils seille et sont tres aimable rin a  y redire;0;0;0;0;1;;;['rouen', 'saint', 'sev', 'seil', 'aimabl', 'rin', 'redir'];rouen saint sev seil aimabl rin redir;0
une conseillere qu est payer a rien faire voila ou vont nos impots et nos cotisations     ;0;0;0;0;0;;;['pai', 'impot'];pai impot;0
plus inutile que vous   ca n existe pas  vos  conseilleres    absolument execrables et irrespectueuses  c est un pur scandale  j appelle un matin pour avoir un simple renseignement concernant une alternance  dans un domaine precis  car je debute dans le monde du travail et j aimerait quelques conseilles concernant les endroits ou faire mes recherches  je pose ma question en etant tres agreable malgre de longues minutes d attentes et un  bonjour  a peine audible articule   la reponse de la conseillere    euuh madame on vas pas trouver votre stage a votre place hein    attendez mais j hallucine   premierement ce n est pas un stage que je recherche mais une alternance     deuxiemement  pole emploi est un centre d information pour les formations et emplois   cette dame connait elle au moins son metier     troisiemement  a quel moment j ai appele pour que vous me trouviez quoi que ce soit   cela fait des mois que je fais mes propres recherches je n ai jamais reclame aucune aide  j appelais pour une simple information  apprenez a ecouter ce que les gens disent avant de dire d enormes m       et au passage  le respect c est pas a 50 piges qu on l acquiert  je ne vous parle meme pas de la suite de la conversation ou cette dame s est vite mise a me parler de facon agressive  j ai evidemment raccroche et c est bien la derniere fois que j ai a faire a vous car vous etes les pires de tous dans le domaine  j espere que l affreuse dame a qui j ai parle est moins frustree depuis  sinon  c est vraiment triste comme vie  bizous;0;0;1;0;0;;;['execr', 'irrespectu', 'pur', 'scandal', 'appel', 'altern', 'prec', 'debut', 'endroit', 'audibl', 'articul', 'repons', 'euuh', 'vas', 'hein', 'attend', 'hallucin', 'premier', 'altern', 'format', 'troisiem', 'appel', 'propr', 'reclam', 'appel', 'appren', 'disent', 'passag', 'respect', '50', 'pig', 'acquiert', 'agress', 'raccroch', 'pir', 'affreux', 'frustre', 'trist', 'bizous'];execr irrespectu pur scandal appel altern prec debut endroit audibl articul repons euuh vas hein attend hallucin premier altern format troisiem appel propr reclam appel appren disent passag respect 50 pig acquiert agress raccroch pir affreux frustre trist bizous;0
a quoi vous servez     j aimerai bien savoir    ;0;0;0;0;0;;;['serv'];serv;-1
experience plutot a nuancer  tres aleatoire sur l encadrement des demandeurs d emploi   des questions sont posees  mais la reponse n est pas forcement dans le message de retour     cordialement ;0;0;0;0;0;;;['nuanc', 'aleatoir', 'encadr', 'pose', 'repons'];nuanc aleatoir encadr pose repons;4
des salaries avec qui ont pourrait confondre pour de simple figurants  un suivie qui n aboutit generalement a rien  pour cherche du boulot il ne faut pas compter sur eux  ce sont des incapables et c est une honte;1;0;0;0;0;;;['confondr', 'figur', 'about', 'general', 'boulot', 'compt'];confondr figur about general boulot compt;-1
ponctuel a l ecoute investi une aide precieuse pour moi et mes demarche;0;0;0;0;0;;;['ponctuel', 'invest', 'precieux', 'demarch'];ponctuel invest precieux demarch;-1
fermeture exceptionnelle en ce jeudi 23 juin 2022  comme souvent  juste une affiche pose sur la porte au dernier moment  du coup  deplacement pour rien  notamment pour ceux qui n habitent pas a cote en cette periode ou le prix de l essence est cher ;0;0;0;0;0;;;['fermetur', 'exceptionnel', 'jeud', '23', 'juin', 'habitent', 'prix', 'essenc', 'cher'];fermetur exceptionnel jeud 23 juin habitent prix essenc cher;-1
tres a l ecoute et un suivi rigoureux       ;0;0;0;0;1;;;['rigour'];rigour;0
vraiment bien accompagne  tres sympa   ;0;0;0;0;0;;;[];;0
